Year,State,county_name,Rent,Pop,RentInc,PopInc,Class,Class2,,
2017,Montana,Teton County,856,"6,073",-0.013824885,0.214717742,Rural,Rural,,
2017,Montana,Toole County,988,"5,324",0.071583514,0.082055906,Rural,Rural,,
2017,Montana,Treasure County,1035,718,0.186926606,0.231854839,Rural,Rural,,
2017,Montana,Valley County,852,"7,369",-0.017301038,0.079310345,Rural,Rural,,
2017,Montana,Wheatland County,960,"2,168",0.092150171,0.143145161,Rural,Rural,,
2017,Montana,Wibaux County,1053,"1,017",0.197952218,0.253024194,Rural,Rural,,
2017,Montana,Yellowstone County,1202,"147,972",0.199600798,0.404572565,Urban,Urban,,
2018,Montana,Beaverhead County,935,"9,246",0.014099783,0.237903226,Rural,Rural,,
2018,Montana,Big Horn County,949,"12,865",0.068693694,0.265993266,Rural,Urban,,
2018,Montana,Blaine County,889,"6,491",0.13974359,0.133811231,Rural,Rural,,
2018,Montana,Broadwater County,1008,"5,612",0.194312796,0.24,Rural,Rural,,
2018,Montana,Carbon County,1308,"10,078",0.305389222,0.584493042,Rural,Rural,,
2018,Montana,Carter County,976,"1,160",0.110352673,0.164314516,Rural,Rural,,
2018,Montana,Cascade County,1058,"81,327",0.103232534,0.334698055,Urban,Urban,,
2018,Montana,Chouteau County,943,"5,813",0.022776573,0.014973262,Rural,Rural,,
2018,Montana,Custer County,997,"11,699",0.092004381,0.091703057,Rural,Rural,,
2018,Montana,Daniels County,1020,"1,751",0.192982456,0.171370968,Rural,Rural,,
2018,Montana,Dawson County,874,"8,966",-0.027808676,-0.049594229,Rural,Rural,,
2018,Montana,Deer Lodge County,947,"9,298",0.027114967,0.142325581,Rural,Rural,,
2018,Montana,Fallon County,954,"2,890",0.034707158,0.164314516,Rural,Rural,,
2018,Montana,Fergus County,967,"11,586",0.182151589,0.15238954,Rural,Rural,,
2018,Montana,Flathead County,1215,"90,928",0.103542234,0.058956916,Tourist,Tourist,,
2018,Montana,Gallatin County,1347,"89,513",0.226775956,0.238817286,Tourist,Tourist,,
2018,Montana,Garfield County,925,"1,206",0.052332196,0.164314516,Rural,Rural,,
2018,Montana,Glacier County,874,"13,399",-0.052060738,0.029145729,Tourist,Tourist,,
2018,Montana,Golden Valley County,1306,884,0.588807786,0.521032505,Rural,Rural,,
2018,Montana,Granite County,948,"3,079",0.215384615,0.263104839,Rural,Rural,,
2018,Montana,Hill County,905,"16,096",-0.018438178,0.220302376,Rural,Urban,,
2018,Montana,Jefferson County,1132,"11,406",0.451282051,0.788530466,Rural,Rural,,
2018,Montana,Judith Basin County,945,"2,072",0.058230683,0.164314516,Rural,Rural,,
2018,Montana,Lake County,1048,"28,746",0.227166276,0.038738739,Rural,Urban,,
2018,Montana,Lewis and Clark County,1293,"63,395",0.324795082,0.32096635,Urban,Urban,,
2018,Montana,Liberty County,976,"2,339",0.110352673,0.164314516,Rural,Rural,,
2018,Montana,Lincoln County,920,"19,687",0.044267877,0.107303877,Rural,Urban,,
2018,Montana,McCone County,874,"1,734",-0.052060738,0.04147881,Rural,Rural,,
2018,Montana,Madison County,1029,"7,691",0.164027149,0.169652266,Rural,Rural,,
2018,Montana,Meagher County,1024,"1,891",0.312820513,0.19858871,Rural,Rural,,
2018,Montana,Mineral County,1014,"4,223",0.172254335,0.329113924,Rural,Rural,,
2018,Montana,Missoula County,1346,"109,299",0.27221172,0.246365723,Tourist,Tourist,,
2018,Montana,Musselshell County,1033,"4,538",0.187356322,0.377016129,Rural,Rural,,
2018,Montana,Park County,1133,"15,636",0.193888303,0.107487027,Rural,Urban,,
2018,Montana,Petroleum County,1126,494,0.214670982,0.274378585,Rural,Rural,,
2018,Montana,Phillips County,976,"4,253",0.110352673,0.237903226,Rural,Rural,,
2018,Montana,Pondera County,1014,"6,153",0.09978308,0.107303877,Rural,Rural,,
2018,Montana,Powder River County,881,"1,743",-0.044468547,0.174395161,Rural,Rural,,
2018,Montana,Powell County,1014,"7,027",0.3,0.057692308,Rural,Rural,,
2018,Montana,Prairie County,976,"1,179",0.110352673,0.164314516,Rural,Rural,,
2018,Montana,Ravalli County,1123,"40,212",0.067490494,0.285037879,Rural,Urban,,
2018,Montana,Richland County,1037,"9,746",0.293017456,0.313796213,Rural,Rural,,
2018,Montana,Roosevelt County,963,"10,425",0.234615385,0.203106332,Rural,Rural,,
2018,Montana,Rosebud County,885,"9,233",0.134615385,0.29390681,Rural,Rural,,
2018,Montana,Sanders County,901,"11,413",0.131909548,0.215401786,Rural,Rural,,
2018,Montana,Sheridan County,904,"3,384",-0.019522777,-0.020739405,Rural,Rural,,
2018,Montana,Silver Bow County,982,"34,200",0.232120452,0.137673426,Urban,Urban,,
2018,Montana,Stillwater County,1057,"9,117",0.197055493,0.159603246,Rural,Rural,,
2018,Montana,Sweet Grass County,1101,"3,651",0.194143167,0.168620379,Rural,Rural,,
2018,Montana,Teton County,954,"6,073",0.099078341,0.350806452,Rural,Rural,,
2018,Montana,Toole County,952,"5,324",0.032537961,0.107303877,Rural,Rural,,
2018,Montana,Treasure County,1125,718,0.290137615,0.341733871,Rural,Rural,,
